CASA DORADA COSTUMER REPORT
Name;Last name;Id;Address;Telephone;Suggestions;Status
Zorana;Venmore;331;Feednation;331;Celica;ACTIVE
Zorah;Northall;603;Realcube;603;9-5;ACTIVE
Zitella;Fuzzens;453;Jabbertype;453;Altima;ACTIVE
Zilvia;Van Castele;212;Trudeo;212;Fleetwood;ACTIVE
Zaneta;Machon;478;Voomm;478;Eurovan;ACTIVE
Yoshi;Addington;875;Ntag;875;Countach;ACTIVE
Yorker;Sapwell;485;Babbleblab;485;Savana 2500;ACTIVE
Ynez;Wyld;996;Skinix;996;Elantra;ACTIVE
Yelena;Ierland;515;Dazzlesphere;515;M5;ACTIVE
Yasmeen;Sherrocks;108;Topiclounge;108;Paseo;ACTIVE
Xylina;Marklund;661;Gigabox;661;G-Class;ACTIVE
Xever;Sogg;591;Wordpedia;591;626;ACTIVE
Wynnie;Kestle;384;Leenti;384;QX;ACTIVE
Wrennie;Weld;840;Eire;840;Montana;ACTIVE
Winnifred;Maddyson;932;Browsetype;932;Spectra;ACTIVE
Wilone;Benoist;707;Aimbu;707;850;ACTIVE
Wilmer;Janovsky;738;Youspan;738;W201;ACTIVE
Willie;Drewitt;276;Oba;276;Truck;ACTIVE
Willey;Bruni;697;Livetube;697;Camaro;ACTIVE
Wilburt;Salzburg;564;Twinte;564;Coachbuilder;ACTIVE
Werner;Arnke;439;Jaxworks;439;Corolla;ACTIVE
Wendy;Mathiot;462;Dazzlesphere;462;New Beetle;ACTIVE
Wayland;Antonazzi;750;Brightbean;750;Prelude;ACTIVE
Walt;Rosenbarg;278;Gigaclub;278;G-Series 1500;ACTIVE
Wallis;McLemon;399;Oyope;399;E-Class;ACTIVE
Wallace;Beevor;844;Flipstorm;844;Sonata;ACTIVE
Wakefield;Dobkin;165;Devpoint;165;Azera;ACTIVE
Wadsworth;Shepherdson;814;Gabvine;814;SL-Class;ACTIVE
Vonny;Spurway;743;Dynabox;743;Cougar;ACTIVE
Vlad;Jaggi;285;Skiptube;285;Silverado Hybrid;ACTIVE
Vivi;Cometto;861;Kwideo;861;X6 M;ACTIVE
Viva;Chrestien;778;Jaxnation;778;Tundra;ACTIVE
Vittorio;Kindle;613;Feedfire;613;X5;ACTIVE
Vinny;Paroni;208;Quire;208;Frontier;ACTIVE
Vilhelmina;Brabbs;847;Gigazoom;847;Jetta;ACTIVE
Vicky;Metterick;874;Jaloo;874;Prius;ACTIVE
Vickie;Grisbrook;711;Innojam;711;Sonoma Club Coupe;ACTIVE
Vick;Eliff;925;Tagchat;925;Avalon;ACTIVE
Vernen;Cancutt;385;Yacero;385;Silverado 1500;ACTIVE
Vergil;Ellins;727;Oba;727;XK Series;ACTIVE
Valentino;Burlingame;567;Topiczoom;567;Lancer Evolution;ACTIVE
Valene;Tompkins;962;Zazio;962;Miata MX-5;ACTIVE
